Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
Andrew Wiggins,SF/SG,Canada,1,Kansas,6'8,"7'-0""",,35,35,32.8,422,189,0.488,126,43,0.341,0.775,5.9,1.5,1.2,1,17.1,2.3,2.7,Good
Jabari Parker,SF/PF,USA,1,Duke,6'8,"7'-0""","8'-8""",35,35,30.7,499,236,0.473,106,38,0.358,0.748,8.7,1.2,1.2,1.2,19.1,2.3,2.4,Average
Joel Embiid,C,Cameroon,1,Kansas,7'0,"7'-5""",,28,20,23.1,171,107,0.626,5,1,0.2,0.685,8.1,1.4,0.9,2.6,11.2,2.4,3.4,Average
Aaron Gordon,PF,USA,1,Arizona,6'9,"7'-0""","8'-9""",38,38,31.2,382,189,0.495,45,16,0.356,0.422,8,2,0.9,1,12.4,1.4,2.4,Average
Dante Exum,PG/SG,Australia,,Australian IoS,6'6,"6'-10""","8'-7""",,,,,,,,,,,,,,,,,,Bad
Marcus Smart,PG,USA,2,Oklahoma State,6'3,"6'-9""","8'-3""",64,63,33.1,760,314,0.413,295,87,0.295,0.751,5.9,4.5,2.9,0.6,16.6,3,1.4,Good
Julius Randle,PF,USA,1,Kentucky,6'9,7'-0,"8'-10""",40,40,30.8,392,196,0.5,18,3,0.167,0.706,10.4,1.4,0.5,0.8,15,2.5,2.3,Bad
Nik Stauskas,SG,Canada,2,Michigan,6'7,"6'-8""","8'-6""",75,69,33,692,323,0.467,390,172,0.441,0.832,2.95,2.3,0.6,0.3,14.13,1.5,1,Average
Noah Vonleh,PF,USA,1,Indiana,6'10,"7'-5""","9'-0""",30,29,26.5,216,113,0.523,33,16,0.485,0.716,9,0.6,0.9,1.4,11.3,2.1,2.7,Bad
Elfrid Payton,PG,USA,3,Louisiana-Lafayette,6'4,"6'-8""","8'-3""",100,78,31.6,1032,501,0.485,112,30,0.268,0.611,5.1,4.9,2,0.5,14.3,3.4,2.3,Good
Doug McDermott,SF,USA,4,Creighton,6'8,"6'-9""","8'-7""",145,144,31.5,2075,1141,0.55,598,274,0.458,0.831,7.5,1.3,0.2,0.1,21.7,2.2,1.8,Bad
Darlo Saric,SF/PF,Croatia,,Cibona Zagreb,6'10,"6'-11""","9'-0""",,,,,,,,,,,,,,,,,,Average
Zach LaVine,SG,USA,1,UCLA,6'6,"6'-9""","8'-4""",37,1,24.4,288,127,0.441,128,48,0.375,0.691,2.5,1.8,0.9,0.2,9.4,1.1,2,Good
T.J Warren,SF,USA,2,North Carolina State,6'8,"6'-10""","8'-8""",70,49,31.2,951,528,0.555,143,45,0.315,0.654,5.7,1,1.5,0.5,18.5,1.7,2.5,Average
Adreian Payne,PF,USA,4,Michigan State,6'10,"7'-4""","9'-1""",138,,20,850,447,0.526,149,61,0.409,0.755,5.3,0.6,0.6,1,8.9,1.4,2.2,Bad
Jusuf Nurkic,C,Bosnia and Herzegovina,,Cedevita Zagreb,6'11,,,,,,,,,,,,,,,,,,,,Good
James Young,SG/SF,USA,1,Kentucky,6'8,"7'-0""","8'-8""",40,39,32.4,450,183,0.407,235,82,0.349,0.706,4.3,1.7,0.8,0.2,14.3,1.9,2.1,Bad
Tyler Ennis,PG,Canada,1,Syracuse,6'3,"6'-7""","7'-2""",34,34,35.7,360,148,0.411,85,30,0.353,0.765,3.4,5.5,2.1,0.2,12.9,1.7,2,Bad
Garry Harris,SG,USA,2,Michigan State,6'5,"6'-7""","8'-0""",69,,31,784,345,0.44,388,146,0.376,0.788,3.3,2,1.6,0.3,14.9,1.6,2,Average
Bruno Caboclo,SF,Brazil,,EC Pinheiros,6'9,,,,,,,,,,,,,,,,,,,,Bad
Mitch McGary,PF,USA,2,Michigan,6'10,"7'-0""","9'-0""",47,,20.6,279,164,0.588,2,0,0,0.513,6.6,0.8,1.2,0.7,7.8,1.3,2.5,Average
Jordan Adams,SG,USA,2,UCLA,6'5,"6'-10""","8'-6""",69,,30.2,798,373,0.467,296,98,0.331,0.839,4.6,2.1,2.4,0.3,16.4,1.4,2.1,Bad
Rodney Hood,SG,USA,2,Duke,6'9,"6'-9""","8'-7""",67,,32.8,699,318,0.455,298,118,0.396,0.773,4.3,2.1,0.6,0.3,13.3,1.3,2,Average
Shabazz Napier,PG,USA,4,Connecticut,6'1,"6'-3""","7'-9""",143,97,32.3,1447,595,0.411,693,260,0.375,0.813,4,4.5,1.8,0.2,13.7,2.5,2.1,Average
Clint Capela,C,Switzerland,,Elan Chalon,6'11,"7'-5""","9'-3""",,,,,,,,,,,,,,,,,,Bad
P.J Hairston,SG,USA,2,North Carolina ,6'5,"6'-9""","8'-5""",71,14,18.1,567,220,0.388,364,127,0.349,0.8,3.2,1,0.8,0.3,10,0.93,1.7,Average
Bogdan Bogdanovic,SG,Serbia,,,6'6,"6'-11""","8'-2""",,,,,,,,,,,,,,,,,,Good
C.J Wilcox,SG,USA,4,Washington,6'5,"6'-10""","8'-5""",131,84,28.5,1478,640,0.433,773,301,0.389,0.84,3.4,1.6,0.9,0.7,14.4,1.4,1.9,Average
Josh Huestis,SF/PF,USA,4,Stanford,6'7,,,135,,25,870,392,0.451,207,66,0.318,0.61,6.2,0.8,0.5,1.4,7.6,0.9,1.7,Bad
Kyle Anderson,SF,USA,2,UCLA,6'9,"7'-3""","9'-0""",71,,31.6,670,303,0.452,96,36,0.375,0.736,8.7,5,1.8,0.8,12.2,2.6,1.9,Average
Damien Inglis,SF,France,,Chorale Roanne,6'8,"7'-3""","9'-0""",,,,,,,,,,,,,,,,,,Bad
K.J McDaniels,SF,USA,3,Clemson,6'6,"6'-11""","8'-6""",94,,24.3,804,362,0.45,259,81,0.313,0.767,4.8,0.9,0.9,1.9,11,1.5,1.8,Average
Joe Harris,SG,USA,4,Virginia,6'6,"6'-6""","8'-4""",135,128,30.3,1276,568,0.445,646,263,0.407,0.722,3.8,1.9,0.9,0.4,12.5,1.6,2.3,Average
Cleanthony Early,SF,USA,2,Wichita State,6'7,"6'-11""",,75,,26.2,789,371,0.47,324,113,0.349,0.819,5.7,0.7,0.8,0.8,15.1,1.8,2.4,Average
Jarnell Stokes,PF,USA,3,Tennessee,6'9,"7'-1""","8'-8""",87,,29.7,775,411,0.53,3,0,0,0.628,9.6,1.5,0.8,1.1,12.8,2.1,2.2,Bad
Johnny O'bryant,PF,USA,3,Louisiana State,6'9,,,91,,27.1,956,447,0.468,26,6,0.231,0.619,7.7,1.3,0.5,0.8,12.7,2.9,2.8,Average
DeAndre Daniels,SF,USA,3,Connecticut,6'9,"7'-2""","8'-11""",99,,23.8,791,359,0.454,238,83,0.349,0.752,4.6,0.5,0.6,1.2,9.6,1.3,2,Bad
Spencer Dinwiddie,PG/SG,USA,3,Colorado,6'6,"6'-8""","8'-7""",86,,30.1,690,290,0.42,298,115,0.386,0.83,3.3,2.6,1.1,0.3,13,1.8,2.1,Average
Jerami Grant,SF,USA,2,Syracuse,6'8,"7'-3""","8'-11""",72,29,21.9,385,187,0.486,20,6,0.4,0.641,4.7,0.9,0.6,0.5,7.5,0.9,1.8,Average
Glen Robinson,SF,USA,2,Michigan,6'7,"6'-10""","8'-5""",76,,33,665,349,0.525,179,56,0.313,0.718,4.9,1.1,1,0.3,12,1,1.3,Bad
Nikola Jokic,PF/C,Serbia,3,Mega Vizura,6'11,"7'-3""","9'-3""",,,,,,,,,,,,,,,,,,Average
Nick Johnson,PG/SG,USA,3,Arizona,6'3,"6'-7""","8'-1""",109,,30.8,1057,445,0.421,406,147,0.362,0.734,3.6,2.8,1.3,0.6,12.3,1.8,2,Bad
Walter Tavares,C,Cape Verde,,CB Gran Canaria,7'3,"7'-6""",,,,,,,,,,,,,,,,,,,Bad
Markel Brown,SG,USA,4,Oklahoma State,6'4,"6'-9""","8'-4""",134,,30.5,1255,551,0.439,421,146,0.347,0.733,4.3,2.3,1,0.8,12.4,1.8,2.1,Average
Dwight Powell,PF,Canada,4,Stanford,6'11,"7'-1""","8'-9""",136,,26.2,1110,515,0.464,114,33,0.289,0.722,6.3,1.8,0.9,0.9,10.8,2.1,2.9,Bad
Jordan Clarkson,PG,USA,3,Missouri,6'5,"6'-8""","8'-2""",93,75,31.7,1076,473,0.434,295,95,0.322,0.805,3.3,2.7,0.9,0.3,15.4,2.7,2.3,Good
Russ Smith,PG/SG,USA,4,Louisville,6'0,"6'-4""","7'-11""",133,,24.3,1501,620,0.413,521,180,0.345,0.76,2.7,2.8,1.9,0.1,14.3,2.4,2.4,Bad
Lamar Patterson,SG/SF,USA,5,Pittsburgh,6'5,"6'-11""","8'-3""",149,,24.3,1097,477,0.435,463,171,0.369,0.723,3.9,2.9,1,0.3,9.5,1.6,1.9,Bad
Cameron Bairstow,PF/C,Australia,4,New Mexico,6'9,,,134,,20.8,808,418,0.517,6,2,0.333,0.717,4.8,0.8,0.5,0.7,9.2,1.2,2.1,Bad
Alec Brown,C,USA,4,Green Bay,7'1,,,126,,29.3,1299,604,0.465,195,78,0.4,0.748,6.3,0.9,0.6,2.4,12.6,2.1,2.7,Bad
Thanasis Antetokounmpo,SF,Greece,,Delaware 87ers,6'6,"8'-9""","7'-0""",,,,,,,,,,,,,,,,,,Bad
Vasilije Micic,PG,Serbia,,Mega Vizura,6'4,,,,,,,,,,,,,,,,,,,,Bad
Alessandro Gentile,SF,Italy,,Olimpia Milano,6'6,,,,,,,,,,,,,,,,,,,,Bad
Nemanja Dangubic,SG,Serbia,,Mega Vizura,6'8,"6'-8""","8'-7""",,,,,,,,,,,,,,,,,,Bad
Semaj Christon,PG,USA,2,Xavier,6'3,"6'-7""","8'-7""",64,,34.8,785,363,0.462,77,26,0.338,0.67,2.8,4.4,1.4,0.2,16.2,3.1,2.4,Bad
Devyn Marble,SG/SF,USA,4,Iowa,6'7,"6'-9""","8'-6""",136,,27.6,1359,564,0.415,396,134,0.338,0.726,3.4,2.9,1.3,0.2,12.5,1.7,1.6,Average
Louis Labeyrie,PF/C,France,,Paris-Levallois Basket,6'10,"6'-10""","9'-0""",,,,,,,,,,,,,,,,,,Bad
Jordan McRae,SG,USA,4,Tennessee,6'7,"7'-11""","8'-8""",114,74,27.1,1190,496,0.417,522,179,0.343,0.769,3.3,1.8,0.6,0.9,13.3,2,1.9,Bad
Xavier Thames,PG/SG,USA,4,San Diego State,6'4,"6'-4""","8'-0""",128,95,28,1080,427,0.395,354,123,0.374,0.814,2.6,2.8,1.1,0.2,10.7,1.6,1.9,Bad
Cory Jefferson,PF,USA,4,Baylor,6'9,"7'-1""","8'-9""",130,76,19.9,794,431,0.543,50,17,0.34,0.66,5.6,0.4,0.3,1.3,8.9,0.8,1.7,Average
